conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf2,2.9mrs0,85.23699951171875,65.71800231933594,0.0010766293128595147,1.0,0.8850666284561157,85.23699951171875,67.06926727294922,76.3848543292323,49.638465881347656,43.567531233445855,21.255374908447266,2.0,2.9
conf2,5.7mrs0,340.9480285644531,237.16253662109375,0.003627033237057913,1.0,1.2786777019500732,340.9480285644531,244.29449462890625,306.0513999018409,217.63662719726562,172.84899276918128,115.67507934570312,2.0,5.7
conf2,8.6mrs0,767.1329956054688,483.1211242675781,0.005923435521689147,1.0,1.3650914430618286,767.1329956054688,499.93719482421875,690.2987219234635,464.3042297363281,382.14326394302066,269.7845764160156,2.0,8.6
conf2,11.4mrs0,1363.7921142578125,765.044677734375,0.00874865549476432,1.0,1.362870454788208,1363.7921142578125,793.775390625,1226.7082182309025,758.7615966796875,683.7607968460782,464.3924865722656,2.0,11.4
conf2,14.2mrs0,2130.925048828125,1025.693115234375,0.01188054000521622,1.0,1.3203562498092651,2130.925048828125,1066.1153564453125,1917.6806916388832,1030.61669921875,1067.4857803101054,670.58447265625,2.0,14.2
conf2,17.1mrs0,3068.5322265625,1206.12939453125,0.015541570139579436,1.0,1.2263727188110352,3068.5322265625,1255.772705078125,2762.4141129992677,1203.00732421875,1535.2631157355606,867.361572265625,2.0,17.1
conf2,19.9mrs0,4176.61279296875,1278.73681640625,0.018924925231882002,1.0,1.1045732498168945,4176.61279296875,1333.9873046875,3760.5470957623174,1233.48046875,2083.2990849034786,1006.84423828125,2.0,19.9
conf2,22.8mrs0,5455.16796875,1237.4844970703125,0.02171747454772099,1.0,0.9525325298309326,5455.16796875,1295.1573486328125,4910.046400206422,1118.529052734375,2725.480312437596,1058.435546875,2.0,22.8
conf2,25.7mrs0,6904.1962890625,1093.952392578125,0.02392712720017906,1.0,0.7816146016120911,6904.1962890625,1151.7105712890625,6214.117372758299,869.11474609375,3451.7515072640053,1010.5181884765625,2.0,25.7
conf2,28.5mrs0,8523.69921875,889.4395751953125,0.02565350100916923,1.0,0.6124560832977295,8523.69921875,948.5364379882812,7668.76768488906,548.5851440429688,4262.256678780474,882.2984619140625,2.0,28.5
conf2,31.4mrs0,10313.6767578125,670.0728759765625,0.02619109425072016,1.0,0.4600324332714081,10313.6767578125,732.1753540039062,9279.193006034106,230.69525146484375,5154.9168008604365,711.9891357421875,2.0,31.4
conf2,34.2mrs0,12274.126953125,472.55682373046875,0.02586831738084316,1.0,0.3310217261314392,12274.126953125,538.8196411132812,11045.788084828535,-28.158958435058594,6143.663887654857,536.6237182617188,2.0,34.2
conf2,37.1mrs0,14405.0537109375,324.77099609375,0.0243280921701641,1.0,0.22799094021320343,14405.0537109375,395.6424560546875,12963.77083854728,-181.47003173828125,7208.618521925432,394.9409484863281,2.0,37.1
conf2,39.9mrs0,16706.44921875,230.08523559570312,0.022616564517574905,1.0,0.15682357549667358,16706.44921875,307.1143493652344,15037.113788514911,-231.44973754882812,8343.73124910106,300.7960510253906,2.0,39.9
conf2,42.8mrs0,19178.296875,168.59423828125,0.0206023614036732,1.0,0.12044613063335419,19178.296875,254.02418518066406,17260.228543140285,-225.64622497558594,9586.940187976677,242.19798278808594,2.0,42.8
conf3,2.9mrs0,223.6182098388672,175.9547119140625,0.0018886283387577734,1.0,1.2059009075164795,223.6182098388672,179.37176513671875,200.67397833986365,149.72427368164062,108.75196114431157,75.73942565917969,3.0,2.9
conf3,5.7mrs0,894.4727783203125,631.3037109375,0.005432997329175575,1.0,1.4204797744750977,894.4727783203125,650.446044921875,805.1714842031107,593.5343627929688,447.7018952637126,329.1500549316406,3.0,5.7
conf3,8.6mrs0,2012.5638427734375,1305.123779296875,0.009696152881945747,1.0,1.4383527040481567,2012.5638427734375,1351.4248046875,1811.6014849116787,1262.288818359375,1003.2456843646501,732.6298217773438,3.0,8.6
conf3,11.4mrs0,3577.890869140625,2109.646484375,0.015375163946794845,1.0,1.4352707862854004,3577.890869140625,2196.317138671875,3220.755583904069,2091.81689453125,1787.4265586244314,1261.263427734375,3.0,11.4
conf3,14.2mrs0,5590.455078125,2905.120849609375,0.020169428593937846,1.0,1.3961231708526611,5590.455078125,3035.637451171875,5031.04818438401,2932.71044921875,2796.209360484645,1889.0029296875,3.0,14.2
